award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
IGSM-245233-OMS-20,Westmoreland Sanctuary Nature Center and Museum,Institute of Museum and Library Services,Office of Museum Services,2020,15000,,"Inspire! Grants for Small Museums (Mount Kisco, NY)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245233-OMS-20,matched via: inspire_interactive
IGSM-245251-OMS-20,"Massachusetts Audubon Society (Museum of American Bird Art, Mass Audubon)",Institute of Museum and Library Services,Office of Museum Services,2020,47659,,"Inspire! Grants for Small Museums (Lincoln, MA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245251-OMS-20,matched via: inspire_interactive
IGSM-245335-OMS-20,Virginia Air and Space Center,Institute of Museum and Library Services,Office of Museum Services,2020,35000,,"Inspire! Grants for Small Museums (Hampton, VA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245335-OMS-20,matched via: inspire_interactive
IGSM-245515-OMS-20,Bisbee Science Lab,Institute of Museum and Library Services,Office of Museum Services,2020,45936,,"Inspire! Grants for Small Museums (Bisbee, AZ)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245515-OMS-20,matched via: inspire_interactive
IGSM-245609-OMS-20,Ava Gardner Museum,Institute of Museum and Library Services,Office of Museum Services,2020,50000,,"Inspire! Grants for Small Museums (Smithfield, NC)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245609-OMS-20,matched via: inspire_interactive
IGSM-245743-OMS-20,Whaling Museum,Institute of Museum and Library Services,Office of Museum Services,2020,50000,,"Inspire! Grants for Small Museums (Cold Spring Harbor, NY)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-245743-OMS-20,matched via: inspire_exhibit_fab
IGSM-249196-OMS-21,Iroquois Museum,Institute of Museum and Library Services,Office of Museum Services,2021,31000,,"Inspire! Grants for Small Museums (Howes Cave, NY)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-249196-OMS-21,matched via: inspire_interactive
IGSM-249280-OMS-21,Dungeness River Audubon Center,Institute of Museum and Library Services,Office of Museum Services,2021,50000,,"Inspire! Grants for Small Museums (Sequim, WA)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-249280-OMS-21,matched via: inspire_exhibit_fab
IGSM-249531-OMS-21,Museum of North Idaho,Institute of Museum and Library Services,Office of Museum Services,2021,50000,,"Inspire! Grants for Small Museums (Coeur d'Alene, ID)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-249531-OMS-21,matched via: inspire_exhibit_fab
IGSM-249883-OMS-21,Feiro Marine Life Center,Institute of Museum and Library Services,Office of Museum Services,2021,48962,,"Inspire! Grants for Small Museums (Port Angeles, WA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-249883-OMS-21,matched via: inspire_interactive
IGSM-251489-OMS-22,History Fort Lauderdale,Institute of Museum and Library Services,Office of Museum Services,2022,47000,,"Inspire! Grants for Small Museums (Fort Lauderdale, FL)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251489-OMS-22,matched via: inspire_exhibit_fab
IGSM-251501-OMS-22,County of Davidson (Davidson County Historical Museum),Institute of Museum and Library Services,Office of Museum Services,2022,49800,,"Inspire! Grants for Small Museums (Lexington, NC)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251501-OMS-22,matched via: inspire_exhibit_fab; inspire_interactive
IGSM-251653-OMS-22,Osceola History,Institute of Museum and Library Services,Office of Museum Services,2022,24881,,"Inspire! Grants for Small Museums (Kissimmee, FL)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251653-OMS-22,matched via: inspire_exhibit_fab
IGSM-251693-OMS-22,Muncie Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2022,50000,,"Inspire! Grants for Small Museums (Muncie, IN)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251693-OMS-22,matched via: inspire_exhibit_fab
IGSM-251798-OMS-22,Longview World of Wonders,Institute of Museum and Library Services,Office of Museum Services,2022,49500,,"Inspire! Grants for Small Museums (Longview, TX)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251798-OMS-22,matched via: inspire_interactive
IGSM-251848-OMS-22,"California State University, San Bernardino (CSUSB Anthropology Museum)",Institute of Museum and Library Services,Office of Museum Services,2022,49995,,"Inspire! Grants for Small Museums (San Bernardino, CA)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251848-OMS-22,matched via: inspire_exhibit_fab
IGSM-251949-OMS-22,Canton Museum of Art,Institute of Museum and Library Services,Office of Museum Services,2022,50000,,"Inspire! Grants for Small Museums (Canton, OH)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-251949-OMS-22,matched via: inspire_interactive
IGSM-252824-OMS-23,Laura Ingalls Wilder Historic Home and Museum,Institute of Museum and Library Services,Office of Museum Services,2023,30970,,"Inspire! Grants for Small Museums (Mansfield, MO)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-252824-OMS-23,matched via: inspire_exhibit_fab
IGSM-252970-OMS-23,Lindsay Wildlife Experience,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Walnut Creek, CA)",single_interactive,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-252970-OMS-23,matched via: inspire_interactive
IGSM-253006-OMS-23,Science Zone,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Casper, WY)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253006-OMS-23,matched via: inspire_exhibit_fab; inspire_interactive
IGSM-253219-OMS-23,Children’s Museum of Brownsville,Institute of Museum and Library Services,Office of Museum Services,2023,50000,,"Inspire! Grants for Small Museums (Brownsville, TX)",multi_station,y,med,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-253219-OMS-23,matched via: inspire_exhibit_fab; inspire_interactive
