award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,source_url,notes,state
NY-0001,HADLEY EXHIBITS INC,Power Authority of the State of New York,,2017,359436.0,,MAINTENANCE: NIAGARA EXHIBITS,maintenance,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4600003328,"NYPA Power Vista visitor center, Niagara Falls; source: NY Procurement Report for State Authorities (Socrata ehig-g5x3)",NY
NY-0002,HADLEY EXHIBITS INC,Power Authority of the State of New York,,2021,187723.0,,POWER VISTA EXHIBIT MAINTENANCE AND REPAIRS,maintenance,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4500327057,source: NY Procurement Report for State Authorities,NY
NY-0003,HADLEY EXHIBITS INC,Power Authority of the State of New York,,2018,168773.0,,REGISTRATION KIOSKS AND MOBILE EXHIBITS,multi_station,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4500295131,source: NY Procurement Report for State Authorities,NY
NY-0004,HADLEY EXHIBITS INC,Power Authority of the State of New York,,2020,185678.0,,EXHIBIT MAINTENANCE AND REPAIRS,maintenance,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4500318213,source: NY Procurement Report for State Authorities,NY
NY-0005,TRIVIUM INTERACTIVE LLC,Power Authority of the State of New York,,2023,241772.0,,EXHIBITS SERVICE AND MAINTENANCE,maintenance,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4500350737,source: NY Procurement Report for State Authorities,NY
NY-0006,TRIVIUM INTERACTIVE LLC,Power Authority of the State of New York,,2024,314119.0,,EXHIBITS SERVICE AND MAINTENANCE,maintenance,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=4500363703,source: NY Procurement Report for State Authorities,NY
NY-0007,"CAMBRIDGE SEVEN ASSOCIATES ARCHITECTS, P.C.",Hudson River Park Trust,,2020,129264.0,,Aquaria Exhibit Design Services,multi_station,n,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=A5134,"Design services only (competitive bid, 3 bids); Pier 26 aquarium exhibits. source: NY Procurement Report for State Authorities",NY
NY-0008,Hadley Exhibits Inc.,United Nations Development Corporation,,2024,149092.0,,"Graphics and branding services and exhibit fabrication and installation for UNICEF conference room renovation project, 3 UN Plaza. Single source.",single_interactive,y,med,https://data.ny.gov/resource/ehig-g5x3.json?transaction_number=24273,source: NY Procurement Report for State Authorities,NY
NY-0009,"Whirlwind Creative, Inc.",Rockland County Solid Waste Management Authority,,2024,560830.42,,Design of Exhibits for Education Center,multi_station,unknown,med,https://data.ny.gov/d/8w5p-k45m,PO/contract listed under fiscal year end 2024-12-31; source: NY Procurement Report for Local Authorities (Socrata 8w5p-k45m),NY
NY-0010,Tangram International Exhibits Inc.,New York City Economic Development Corporation,,2015,34721.0,,Tangram Exhibit construction,single_interactive,y,med,https://data.ny.gov/d/d84c-dk28,source: NY Procurement Report for Local Development Corporations (Socrata d84c-dk28),NY
NY-0011,Onondaga Historical Association,Syracuse Regional Airport Authority,,2018,500000.0,,Development and Equipment of a onsite museum,building_wide,unknown,low,https://data.ny.gov/d/8w5p-k45m,Record appears twice in source (FY2018 and FY2019 filings) for same award; reported once here. source: NY Procurement Report for Local Authorities,NY
NY-0012,MOST FOUNDATION,Onondaga County Water Authority,,2022,5000.0,,Innovation Station Exhibit at the Museum of Science and Technology,single_interactive,unknown,low,https://data.ny.gov/d/8w5p-k45m,"Only amount expended for fiscal year exposed, not a total contract value; non-contract PO. source: NY Procurement Report for Local Authorities",NY
NY-0013,RONCO SPECIALIZED SYSTEMS,Onondaga County Water Authority,,2018,55882.78,,Clear Touch Ultra HD Interactive Panel,single_interactive,n,low,https://data.ny.gov/d/8w5p-k45m,Only amount expended for fiscal year exposed; purchased under state contract (hardware only). source: NY Procurement Report for Local Authorities,NY
NY-0014,Tompkins Chamber Foundation,Tompkins County Industrial Development Agency,,2022,100000.0,,"Wayfinding and Interpretive signage inventory, surveying and planning work related to The Tompkins County Wayfinding and Interpretive Signage Project in conjunction with the Ithaca Conference Center project.",other,n,med,https://data.ny.gov/d/p3p6-xqr5,"Planning/survey only, not fabrication. source: NY Procurement Report for Industrial Development Agencies (Socrata p3p6-xqr5)",NY
NY-0015,NATURAL HERITAGE TRUST,New York State Bridge Authority,,2018,9786.0,,INTERPRETIVE SIGNS,kiosk,unknown,low,https://data.ny.gov/d/ehig-g5x3,"Only amount expended for fiscal year exposed; non-contract PO, no description detail beyond title. source: NY Procurement Report for State Authorities",NY
NY-0016,NATURAL HERITAGE TRUST,New York State Bridge Authority,,2020,31023.0,,"MHB, KRB - INTERPRETIVE SIGNS",kiosk,unknown,low,https://data.ny.gov/d/ehig-g5x3,Only amount expended for fiscal year exposed; non-contract PO. source: NY Procurement Report for State Authorities,NY
CA-0001,"Delphi Productions, Inc.",California Department of Parks and Recreation,,2013,197713.1,,"Design development, working drawings, and fabricating an artificial rock exhibit in the exhibit hall of the new Visitor Center at Donner Memorial State Park, Truckee, California.",multi_station,y,high,https://data.ca.gov/dataset/purchase-order-data,"PO# C0217001; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0002,K2 Fabrication,California Department of Parks and Recreation,,2013,249999.0,,"Exhibit Production Artwork, Fabrication, and Exhibit Installation",multi_station,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C0218013; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0003,Formations Inc.,California Department of Parks and Recreation,,2013,781731.0,,"Exhibit Design, Fabrication and Installation Services",multi_station,y,high,https://data.ca.gov/dataset/purchase-order-data,"PO# C0217003; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0004,Platypus,California Department of Parks and Recreation,,2014,332874.0,,"Exhibit Design, Fabrication and Installation Services",multi_station,y,high,https://data.ca.gov/dataset/purchase-order-data,"PO# C13E0050; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0005,"Cinnabar California, Inc",California Department of Parks and Recreation,,2013,504735.0,,Design and install interpretive exhibits Exhibits for Chino Hills SP,multi_station,y,high,https://data.ca.gov/dataset/purchase-order-data,"PO# C10E0024; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0006,"Cinnabar California, Inc",California Department of Parks and Recreation,,2014,48392.0,,Installation of Exhibits,other,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C6508001; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0007,Taylor Studios,California Department of Parks and Recreation,,2013,839000.0,,"Produce an engaging, interactive, multi-sensory, durable, graphically appealing, interpretively written, and easily navigable exhibits for the outdoor and indoor interpretive areas and display of collection at Marshall Gold Discovery State Historic Park.",multi_station,y,high,https://data.ca.gov/dataset/purchase-order-data,"PO# C0600001; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0008,Leslie Stone Associates,California Department of Parks and Recreation,,2014,340000.0,,Replace Exhibit Displays,multi_station,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C12E0013; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0009,David Price Design,California Department of Parks and Recreation,,2014,23457.84,,"Illustrate, design, layout and fabrication of interpretive panels for Bodie State Historic Park",kiosk,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C123A013; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0010,David Price Design,California Department of Parks and Recreation,,2015,127000.0,,"Interpretive Panel Design, Fabrication and Installation Services",kiosk,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C14E0047; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0011,"BANG! Creative, Inc.",California Department of Parks and Recreation,,2014,280000.0,,Interpretive design and displays for Visitor Center at Carpinteria State Beach,multi_station,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C1142008; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0012,"University Enterprises, Inc",California Department of Parks and Recreation,,2015,149999.99,,Interpretive/Graphic Design and Production Services,other,unknown,low,https://data.ca.gov/dataset/purchase-order-data,"PO# C14E0022; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0013,"University Enterprises, Inc",California Department of Parks and Recreation,,2013,45000.0,,Produce Audio/Visual Programs for Calaveras Big Trees State Park new interpretive exhibits; multi-media enhancement component with electronic screen displays.,single_interactive,n,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C7010008; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0014,"PNP Construction, Inc.",California Department of Parks and Recreation,,2015,2183474.0,,"Demolish full scale saw mill exhibit, salvage all mechanical equipment from the existing saw mill and erect a new exhibit in a nearby location incorporating some salvaged equipment; site work improvements at several locations.",multi_station,y,low,https://data.ca.gov/dataset/purchase-order-data,"PO# C6901014; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0015,Steel Fixture MFG,California Department of Parks and Recreation,,2015,5196.0,,Museum cabinets with locking front glass doors,kiosk,y,low,https://data.ca.gov/dataset/purchase-order-data,"PO# S4840222; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0016,JAMES KELTY & ASSOCIATES INC,California Department of Parks and Recreation,,2013,9750.0,,DPR services for development and production of Interactive Computer Program for information kiosk at Big Basin Redwoods State Park,kiosk,n,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C1268023; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0017,WILDWAYS illustrated,California Department of Parks and Recreation,,2013,6520.0,,"Interpretive Panels for Big Ranch, a sub-sub unit of Wilder Ranch State Park.",kiosk,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# S2715184; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0018,"Showreel International, Inc.",California Department of Parks and Recreation,,2013,241638.0,,Virtual tours for interpretive program,single_interactive,n,low,https://data.ca.gov/dataset/purchase-order-data,"PO# C12V0017; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0019,"University Enterprises, Inc",California Department of Parks and Recreation,,2015,34646.0,,Four Low-Profile Interpretive Panels,kiosk,y,med,https://data.ca.gov/dataset/purchase-order-data,"PO# C13E0069; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0020,"Fossil Industries, Inc.",California Department of Parks and Recreation,,2013,5840.0,,Interpretive Kiosk panel and sample,kiosk,y,low,https://data.ca.gov/dataset/purchase-order-data,"PO# S2550037; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
CA-0021,Exhibit Solutions of New Mexico,California African American Museum,,2013,5450.0,,Banners for Historic Churches exhibitions.,kiosk,y,low,https://data.ca.gov/dataset/purchase-order-data,"PO# 11-CR024; CA DGS eSCPRS Purchase Order Data (FY2012-2015 extract), CKAN datastore.",CA
TX-0001,MUSEWORK LLC,Historical Commission,,2013,173540.0,,"Exhibit design, fabrication & installation",multi_station,y,high,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-13-1381,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer.",TX
TX-0002,BUILDING FOUR FABRICATION LLC,Historical Commission,,2014,76000.0,,"Exhibit design, fabrication and installation",multi_station,y,high,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-14-0762,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer.",TX
TX-0003,BUILDING FOUR FABRICATION LLC,Historical Commission,,2014,148000.0,,Exhibit Designs and Fabrication for Landmark Inn,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-14-1470,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer.",TX
TX-0004,MUSEWORK LLC,Historical Commission,,2014,215000.0,,Exhibit development for thematic cross promotion,other,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-15-0327,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Vague scope description",TX
TX-0005,HOWARD REVIS DESIGN SERVICES/,Historical Commission,,2014,3134188.0,,Exhibit Design and Fabrication for San Felipe,building_wide,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-15-0604,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. San Felipe de Austin State Historic Site",TX
TX-0006,Capitol Museum Services,Historical Commission,,2014,424428.0,,Exhibit and Outdoor Panels at Levi Jordan SHS,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-15-0627,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Levi Jordan State Historic Site",TX
TX-0007,SOMMERVILLE WILSON INC,Historical Commission,,2015,110000.0,,"Exhibit design, fabrication & installation",multi_station,y,high,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-15-1158,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer.",TX
TX-0008,ERIN MCCLELLAND,Historical Commission,,2016,113557.0,,COMPREHENSIVE EXHIBIT & INTERPRETIVE PANEL DESIGN,multi_station,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-16-2470,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Design/planning services",TX
TX-0009,HISTORY BEHIND THE SCENES,Historical Commission,,2017,84951.0,,Research & writing of an Interpretive Master Plan,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-17-1475,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Interpretive master plan, planning only",TX
